City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Shahr-E Kord,IR,2021-03-07 23:47:34,32.3256,50.8644,21.2,63,0,4.36,clear sky
205,Saint George,US,2021-03-07 23:46:32,37.1041,-113.5841,73.99,11,1,8.05,clear sky
206,Guayape,HN,2021-03-07 23:47:35,14.7167,-86.8333,70.99,59,0,5.12,clear sky
207,Colares,PT,2021-03-07 23:47:36,38.7992,-9.4469,53.01,74,60,18.99,broken clouds
208,Bonavista,CA,2021-03-07 23:47:36,48.6499,-53.1147,28.0,74,23,8.05,few clouds
209,Lumphat,KH,2021-03-07 23:47:37,13.4878,106.9816,75.79,70,7,10.33,clear sky
210,Lasa,IT,2021-03-07 23:47:37,46.6166,10.7002,35.01,80,0,3.58,clear sky
211,Jasper,US,2021-03-07 23:43:08,37.2001,-94.3502,64.4,24,1,12.66,clear sky
212,Alexandria,EG,2021-03-07 23:46:50,31.2156,29.9553,53.6,87,0,2.3,clear sky
213,Dandong,CN,2021-03-07 23:47:38,40.1292,124.3947,34.99,70,0,2.17,clear sky
214,Port Elizabeth,ZA,2021-03-07 23:45:36,-33.918,25.5701,66.0,88,73,1.01,light rain
215,Dunedin,NZ,2021-03-07 23:47:39,-45.8742,170.5036,55.0,63,89,21.99,overcast clouds
216,Kolkwitz,DE,2021-03-07 23:47:40,51.75,14.25,35.01,86,77,3.0,light snow
217,Porirua,NZ,2021-03-07 23:47:40,-41.1333,174.85,64.0,59,76,5.99,broken clouds
218,Pindwara,IN,2021-03-07 23:47:41,24.8,73.0667,64.0,59,0,4.47,clear sky
219,Fairbanks,US,2021-03-07 23:47:41,64.8378,-147.7164,19.99,85,75,1.81,broken clouds
220,Walla Walla,US,2021-03-07 23:47:42,46.0646,-118.343,54.0,57,20,10.36,few clouds
221,Cape Town,ZA,2021-03-07 23:47:42,-33.9258,18.4232,61.0,77,0,9.22,clear sky
222,Kyshtovka,RU,2021-03-07 23:47:42,56.555,76.6271,32.99,96,100,22.41,light snow
223,Avarua,CK,2021-03-07 23:47:43,-21.2078,-159.775,84.2,79,20,8.05,light rain
224,Ponta Do Sol,PT,2021-03-07 23:47:43,32.6667,-17.1,59.0,94,65,5.99,broken clouds
225,Nikolayevsk-Na-Amure,RU,2021-03-07 23:47:44,53.1406,140.73,5.31,89,2,5.91,clear sky
226,Codrington,AU,2021-03-07 23:47:44,-38.2667,141.9667,58.95,87,100,8.77,overcast clouds
227,Faanui,PF,2021-03-07 23:47:44,-16.4833,-151.75,82.35,77,100,20.2,light rain
228,Rundu,NA,2021-03-07 23:47:45,-17.9333,19.7667,66.78,64,56,2.44,broken clouds
229,Jalu,LY,2021-03-07 23:47:45,29.0331,21.5482,60.15,37,0,5.46,clear sky
230,Kaitangata,NZ,2021-03-07 23:47:46,-46.2817,169.8464,57.0,58,96,17.0,overcast clouds
231,Touros,BR,2021-03-07 23:47:46,-5.1989,-35.4608,78.8,83,20,3.44,few clouds
232,Tessalit,ML,2021-03-07 23:47:46,20.1986,1.0114,76.93,18,89,10.27,overcast clouds
233,Tiksi,RU,2021-03-07 23:47:47,71.6872,128.8694,-15.9,87,100,4.32,overcast clouds
234,Road Town,VG,2021-03-07 23:47:47,18.4167,-64.6167,78.8,78,40,8.05,scattered clouds
235,Karratha,AU,2021-03-07 23:47:48,-20.7377,116.8463,83.28,73,1,11.81,clear sky
236,Dingle,PH,2021-03-07 23:47:48,10.9995,122.6711,79.18,78,90,10.94,overcast clouds
237,Cidreira,BR,2021-03-07 23:47:48,-30.1811,-50.2056,72.73,72,1,8.97,clear sky
238,Alice Springs,AU,2021-03-07 23:47:49,-23.7,133.8833,87.01,32,0,9.22,clear sky
239,Konotop,UA,2021-03-07 23:47:49,51.2403,33.2026,29.95,98,100,16.06,light snow
240,Cienfuegos,CU,2021-03-07 23:44:22,22.1461,-80.4356,77.0,61,61,19.57,broken clouds
241,Monte Patria,CL,2021-03-07 23:47:50,-30.6919,-70.9467,69.96,61,0,1.88,clear sky
242,Saint-Francois,FR,2021-03-07 23:47:50,46.4154,3.9054,42.8,93,90,3.0,fog
243,Lloydminster,CA,2021-03-07 23:47:26,53.2835,-110.0016,39.2,65,90,9.22,overcast clouds
244,Pacific Grove,US,2021-03-07 23:43:06,36.6177,-121.9166,57.2,67,40,9.22,scattered clouds
245,Madang,PG,2021-03-07 23:47:52,-5.2246,145.7966,77.14,85,100,4.68,overcast clouds
246,Broome,US,2021-03-07 23:47:52,42.2506,-75.833,21.2,53,1,12.66,clear sky
247,Cabo San Lucas,MX,2021-03-07 23:47:53,22.8909,-109.9124,78.8,53,75,11.5,broken clouds
248,Jinxiang,CN,2021-03-07 23:47:53,27.4327,120.6062,53.38,80,72,10.98,broken clouds
249,Makakilo City,US,2021-03-07 23:47:54,21.3469,-158.0858,82.4,44,20,9.22,few clouds
250,Flinders,AU,2021-03-07 23:47:54,-34.5833,150.8552,77.0,72,60,4.0,broken clouds
251,Ketchikan,US,2021-03-07 23:47:54,55.3422,-131.6461,44.6,70,90,8.05,overcast clouds
252,Paranavai,BR,2021-03-07 23:47:55,-23.0731,-52.4653,73.4,83,20,5.75,few clouds
253,Muyezerskiy,RU,2021-03-07 23:47:55,63.9333,31.65,-4.81,91,91,8.61,overcast clouds
254,Zverinogolovskoye,RU,2021-03-07 23:47:55,54.4586,64.8542,0.86,93,69,8.72,broken clouds
255,Victoria Falls,ZW,2021-03-07 23:47:56,-17.9235,25.843,65.57,82,75,0.72,broken clouds
256,Lac Du Bonnet,CA,2021-03-07 23:47:56,50.2536,-96.0612,39.0,99,100,7.0,overcast clouds
257,Torbay,CA,2021-03-07 23:47:57,47.6666,-52.7314,28.99,74,20,10.36,few clouds
258,Zaraza,VE,2021-03-07 23:47:57,9.3503,-65.3245,79.07,71,94,9.78,overcast clouds
